name,date,type
"WAR HORSE",2018-09-16,"DRAMA"

"WASTE",2018-09-17,"DRAMA"

"WICKED ",2018-09-18,"MUSICAL"

"WINTER'S TALE, THE",2018-09-19,"DRAMA"

"WOMAN IN BLACK, THE",2018-09-20,"DRAMA"

"WONDER.LAND",2018-09-21,"MUSICAL"

"WUTHERING HEIGHTS",2018-09-22,"DRAMA"

